,Office,Address,Phone Number,Website
0,Central Dental Care,"137 Summit Ave, Summit, NJ 07901",+19082734688,https://www.centraldentalcarenj.com
1,Central Jersey Dental,"294 Applegarth Rd Ste H-1, Monroe Township, NJ 08831",+17322517766,http://centraljerseydental.com
2,T Dental PC,"450 Main St Suite 2, Metuchen, NJ 08840",+17329022828,https://www.tdentalnj.com
3,"Family Dental Practice of New Jersey, LLC","560 Newark Ave, Elizabeth, NJ 07208",+19083557800,http://www.familydentalpracticenj.com
4,"Mercer Smiles Family Dentistry | Family, Implant & Cosmetic Dentist in Central New Jersey","17 Main St Suite 301, Robbinsville Twp, NJ 08691",+16092708540,https://www.njsmilesdentistry.com
5,Park Family Dental,,,
6,Central Jersey Dental Arts,"1056 Stelton Rd, Piscataway, NJ 08854",+17329811040,http://www.cjdentalarts.com
7,Scotch Plains Fanwood Dental Care,"44 S Martine Ave, Fanwood, NJ 07023",+19083223222,https://www.spfdentalcare.com
8,Unique Family Dentistry,"223 S Wood Ave, Linden, NJ 07036",+19087728640,https://www.uniquefamilydentistry.com
9,Union Family Dental,"2333 Morris Ave Suite A111, Union, NJ 07083",+19086877036,https://www.unionfamilydentalnj.com
10,Family Dentistry of New Jersey,"56 Ramtown-Greenville Rd, Howell Township, NJ 07731",+17324582288,https://familydentistryofnewjersey.com
11,SN Family Dental Center,"180 N Main St, Milltown, NJ 08850",+17322473684,https://www.snfamilydental.com
12,NÜVA Smile,"1070 NJ-18, East Brunswick, NJ 08816",+17326130008,https://www.njdentalcenters.com/dentist-east-brunswick-nj
13,Advanced Family Dentistry of South Plainfield,"133 S Plainfield Ave, South Plainfield, NJ 07080",+19083222244,https://www.greatsmileforu.com
14,Hightstown Family Dentistry,"208 S Main St, Hightstown, NJ 08520",+16094480243,http://www.hightstownfamilydentistry.com
15,Modern Dental Care,"375 US-130 #101, East Windsor, NJ 08520",+16094483040,http://www.moderndentalnj.com
16,Fords Family Dental Care,"532 New Brunswick Ave, Fords, NJ 08863",+17327389087,http://fordsfamilydental.com
17,Skyline Dental,"223 Mountain Ave, Springfield, NJ 07081",+19739490925,https://www.sdentalnj.com
18,Great Smiles of New Jersey,"10 Shawnee Dr A5, Watchung, NJ 07069",+19085610225,http://www.greatsmilesnj.com
19,NÜVA Smile,"3333 US-9, Old Bridge, NJ 08857",+17326796666,https://www.njdentalcenters.com/old-bridge-dentist
20,Center of Dental Services,"924 N Wood Ave, Linden, NJ 07036",+19089258110,https://centerofdentalservices.com
21,Garden State Dental of East Brunswick,"422 NJ-18, East Brunswick, NJ 08816",+17322764135,https://gardenstatedental.com/locations/east-brunswick
22,Colonia Dental Associates,"422 Fairview Ave, Colonia, NJ 07067",+17323720035,https://coloniadental.com
23,Princeton Premier Dental,"3495 US-1, Princeton, NJ 08540",+16099360040,http://princetonpremierdental.com
24,"Da Vinci Dental Arts, PA","102 James St # 304, Edison, NJ 08820",+17327441188,http://www.davincidentalartsnj.com
25,Dental Plus Dental Center,"775 US-1, Edison, NJ 08817",+17322876611,http://www.dentalplusdc.com
26,Park Avenue Dental,"379 Princeton Hightstown Rd Building 1, East Windsor, NJ 08512",+16094434400,
27,"Smilow Family Dentistry, P.C.","41 Mountain Ave, Springfield, NJ 07081",+19733430600,https://www.smilowfamilydentistry.com
28,Family Dentistry of Metuchen,"150 Middlesex Ave, Metuchen, NJ 08840",+17325492099,
29,NJ Team Dental Center,"2515 Highway 516, 2nd Floor, Old Bridge, NJ 08857",+17326793600,https://www.njteamdentalcenter.com
30,South Ave Family Dentistry,"346 South Ave #7, Fanwood, NJ 07023",+19088892020,http://www.southavefamilydentistry.com
31,Four Seasons Family Dentistry,"6 Auer Ct, East Brunswick, NJ 08816",+17322574062,http://www.dentisteastbrunswick.com
32,"South Plainfield Dental Arts, LLP","1550 Park Ave #204, South Plainfield, NJ 07080",+19087572222,http://www.soplainfielddentalarts.com/home.htm
33,Family Dentistry of Edison,"42 Parsonage Rd, Edison, NJ 08837",+17325489400,http://www.droehlberg.com
34,Dentistry By Design,"295 Durham Ave Building 7, Suite B, South Plainfield, NJ 07080",+17328261095,https://www.dentistrybydesigndmd.com
35,Bella Dental,"2145 NJ-35 Suite 10, Holmdel, NJ 07733",+17327393070,https://www.belladentalnj.com
36,Your Expressions Family Dentistry,"2864 NJ-27 suite-b, North Brunswick Township, NJ 08902",+17322976111,https://www.yourexpressions.com
37,Dr. Dental: Dentistry & Braces,"561 US-1, Edison, NJ 08817",+17322483368,https://www.mydrdental.com/location/new-jersey/edison
38,NÜVA Smile,"1820 Corlies Ave Ste 8, Neptune City, NJ 07753",+17327745772,https://www.njdentalcenters.com/dentist-neptune-city-nj
39,All-Star Dental,"1543 NJ-27 Suite 22, Somerset, NJ 08873",+17324185000,http://www.allstardentalsomerset.com
40,"Lyons Family Dentistry: Alina Lyons, DMD","806 Farnsworth Ave, Bordentown, NJ 08505",+16092988309,https://lyonsfamilydentistry.com
41,"Robert Martino, DDS and Allison Sceppaguercio, DMD","152 Central Ave # 202, Clark, NJ 07066",+17323828280,http://www.drmartinodentist.com
42,Dental Cosmetic Center of Edison,"906-M Oak Tree Ave Suite M, South Plainfield, NJ 07080",+19082223200,https://www.dentalcosmetic32.com
43,Specialized Dentistry of New Jersey,"224 Taylors Mills Rd #110, Manalapan Township, NJ 07726",+17324107101,https://www.godental365.com/locations/new-jersey/specialized-dentistry-of-nj
44,South Avenue Dental,"104 S Ave E, Cranford, NJ 07016",+19087215510,https://www.southavenuedental.com
45,New Paradigm Dentistry,"514 NJ-33 #3, Millstone, NJ 08535",+17324141888,https://www.newparadigmdentistry.com
46,The Comprehensive Dental Center of Central New Jersey,"2279 NJ-33 Suite 504, Hamilton Square, NJ 08690",+16095847200,http://robertfrascelladds.com
47,New Image Dental,"541 Ford Ave, Fords, NJ 08863",+17327097023,https://www.newimagedental.com
48,Value Dental,"525 New Brunswick Ave, Perth Amboy, NJ 08861",+17328266900,http://www.valuedental.com
49,Serenity Dental Care,"1 NJ-27 Ste 20, Edison, NJ 08820",+17324942282,http://www.serenitydentalcare.net
